model_1h,model_15m,total_pnl_pct,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,total_trades,predicted_pnl_pct,predicted_score,composite_score
rf_BTCUSDT_60_1h,triple_ensemble_BTCUSDT_15_15m,98.78855375710737,0.6901408450704225,4.824638920436501,12.304289436362298,1.4965143282044169,71,50.74561039510347,53.052426133153276,65.42837413239687
rf_BTCUSDT_60_1h,quad_ensemble_BTCUSDT_15_15m,95.55609673425033,0.6712328767123288,4.535223982965608,11.772268664355849,1.5531086363446147,73,55.652990283913056,54.973607297243525,63.0719979267491
rf_BTCUSDT_60_1h,ensemble_BTCUSDT_15_15m,91.00501374224496,0.6478873239436621,4.224914311879705,11.082714301825922,1.5601607596294116,71,56.99109684072296,55.84109295388566,60.02612345989582
rf_BTCUSDT_60_1h,rf_BTCUSDT_15_15m,87.44770946222792,0.6756756756756757,3.826413280056476,10.479464910266014,3.5121235444127015,74,66.27830413208255,60.86785052478233,58.24131684057083
quad_ensemble_BTCUSDT_60_1h,quad_ensemble_BTCUSDT_15_15m,87.0607151366793,0.6363636363636364,3.56262263704022,9.784240165979565,3.626095517135891,77,54.25109875508748,51.03043521030977,56.6336520892208
ensemble_BTCUSDT_60_1h,ensemble_BTCUSDT_15_15m,80.94140996852812,0.625,3.4284161767272905,9.436178490745716,2.6483976178342026,72,52.1284951026243,49.46494510615926,53.62063203901498
ensemble_BTCUSDT_60_1h,quad_ensemble_BTCUSDT_15_15m,80.26837712516769,0.6301369863013698,3.419860514819973,9.446354461599007,3.5259067972731497,73,50.790388545814395,48.59745944951713,53.43908249805422
quad_ensemble_BTCUSDT_60_1h,ensemble_BTCUSDT_15_15m,78.8413928038164,0.6111111111111112,3.2955139763437056,9.069857799219546,3.404726552765113,72,55.58920531189739,51.89792086695191,52.1637788562801
quad_ensemble_BTCUSDT_60_1h,triple_ensemble_BTCUSDT_15_15m,78.71804399501153,0.6111111111111112,3.3126850840050723,9.080220112962019,1.8424234228343106,72,49.343718866277904,49.10925404621952,52.15085401082938
triple_ensemble_BTCUSDT_60_1h,rf_BTCUSDT_15_15m,77.21635145211141,0.6363636363636364,3.0987938393965773,8.726960449076156,3.6827808380228726,77,60.0664822926487,53.483927139201754,51.55679307672568
ensemble_BTCUSDT_60_1h,rf_BTCUSDT_15_15m,76.45936801891085,0.6363636363636364,3.0593630824031344,8.557646120384566,3.82022666406934,77,61.41570239398389,54.49170267705593,51.14127532372025
rf_BTCUSDT_60_1h,xgb_BTCUSDT_15_15m,75.97636983208844,0.6029411764705882,3.484099684522741,9.307717335403932,3.0669084581502815,68,49.42256313873453,52.43701044091243,51.27911429837341
quad_ensemble_BTCUSDT_60_1h,xgb_BTCUSDT_15_15m,73.29325180467882,0.6,3.431473438405853,9.153695872688779,1.6509986239531447,65,48.020671609908966,48.493838353978674,50.01098677322099
quad_ensemble_BTCUSDT_60_1h,rf_BTCUSDT_15_15m,70.6810282579639,0.6025641025641025,2.70593316672942,7.5764734393800115,3.770344224864887,78,64.87641260325698,56.92467843784857,47.250854375802454
xgb_BTCUSDT_60_1h,rf_BTCUSDT_15_15m,66.16710865070169,0.5974025974025974,2.6391559732391623,7.3011659601906596,3.9108962850715163,77,56.98369101094123,51.03585807093617,45.15344054684908
